Unnamed: 0,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
76,-118.39,34.17,28.0,2790.0,748.0,1351.0,697.0,3.2052,<1H OCEAN,251380.02
77,-117.08,33.13,17.0,8466.0,2628.0,7014.0,2267.0,2.1437,<1H OCEAN,111322.0
78,-118.34,33.99,48.0,1172.0,205.0,497.0,190.0,3.825,<1H OCEAN,193214.0
79,-120.47,34.7,24.0,2387.0,385.0,1051.0,382.0,4.4595,NEAR OCEAN,188929.0
80,-117.88,33.79,32.0,1484.0,295.0,928.0,295.0,5.1418,<1H OCEAN,209442.0
81,-115.56,32.78,34.0,2856.0,555.0,1627.0,522.0,3.2083,INLAND,83721.0
82,-122.17,37.78,42.0,1524.0,260.0,651.0,267.0,3.6875,NEAR BAY,170845.01
83,-120.7,35.31,24.0,3504.0,521.0,1490.0,506.0,4.6719,NEAR OCEAN,259323.0
84,-117.2,33.29,12.0,6358.0,1182.0,2778.0,1020.0,4.0357,<1H OCEAN,180168.0
85,-119.7,36.75,11.0,3626.0,779.0,1819.0,731.0,2.4956,INLAND,83257.0
86,-118.2,33.97,43.0,825.0,212.0,820.0,184.0,1.8897,<1H OCEAN,153378.0
87,-121.34,38.03,20.0,4213.0,751.0,2071.0,714.0,4.4063,INLAND,139065.0
88,-118.69,34.08,23.0,204.0,40.0,117.0,41.0,9.7646,NEAR OCEAN,452262.68
89,-117.02,32.95,25.0,1909.0,334.0,1043.0,322.0,3.7784,<1H OCEAN,171463.0
90,-120.37,38.01,30.0,473.0,,242.0,93.0,2.5417,INLAND,136216.0
91,-122.03,37.3,22.0,3583.0,758.0,1792.0,695.0,5.4842,<1H OCEAN,350269.01
92,-118.28,34.03,41.0,1933.0,791.0,3121.0,719.0,1.8539,<1H OCEAN,164160.01
93,-117.01,32.81,26.0,4499.0,645.0,1866.0,626.0,5.516,<1H OCEAN,213372.0
94,-118.25,34.09,43.0,1903.0,635.0,1919.0,613.0,2.6336,<1H OCEAN,183887.0
95,-118.14,34.7,36.0,1205.0,317.0,678.0,290.0,2.0182,INLAND,95986.0
96,-117.64,34.06,50.0,637.0,143.0,590.0,147.0,1.9659,INLAND,104460.0
97,-115.62,33.04,17.0,1009.0,231.0,745.0,217.0,2.0463,INLAND,61829.0
98,-122.44,37.77,52.0,2994.0,736.0,1428.0,700.0,3.0766,NEAR BAY,442812.26
99,-119.0,36.05,24.0,3208.0,691.0,1986.0,662.0,1.5506,INLAND,57082.0
100,-119.31,36.34,32.0,1893.0,453.0,1744.0,425.0,1.4729,INLAND,51332.0
101,-117.75,34.12,25.0,5411.0,998.0,2243.0,1019.0,4.3148,INLAND,189173.0
102,-118.22,33.94,42.0,1115.0,297.0,1412.0,325.0,3.0903,<1H OCEAN,138277.0
103,-119.83,36.79,24.0,3505.0,819.0,2098.0,774.0,1.9575,INLAND,63814.0
104,-118.41,34.02,24.0,2610.0,756.0,1322.0,692.0,3.5022,<1H OCEAN,350892.02
105,-118.42,33.78,36.0,2093.0,303.0,802.0,300.0,8.0957,NEAR OCEAN,484796.82
106,-118.17,34.01,36.0,1657.0,425.0,1689.0,418.0,2.7799,<1H OCEAN,151969.0
107,-119.02,36.07,39.0,1173.0,269.0,702.0,232.0,1.6146,INLAND,50374.0
108,-117.94,34.04,33.0,1493.0,331.0,1571.0,354.0,3.8864,<1H OCEAN,157134.0
109,-117.08,32.59,8.0,2888.0,662.0,2441.0,683.0,2.7048,NEAR OCEAN,128701.0
110,-121.82,37.28,33.0,2873.0,489.0,1946.0,475.0,5.0709,<1H OCEAN,232319.01
111,-117.06,33.13,12.0,8742.0,2114.0,4854.0,1957.0,2.8015,<1H OCEAN,146177.0
112,-121.8,36.94,29.0,2377.0,476.0,1669.0,499.0,2.8214,<1H OCEAN,177645.0
113,-118.63,34.17,33.0,4769.0,787.0,2019.0,743.0,5.5798,<1H OCEAN,371958.24
114,-119.66,36.35,15.0,1724.0,374.0,947.0,391.0,3.1094,INLAND,86196.0
115,-118.37,34.21,36.0,1392.0,326.0,1181.0,303.0,3.1563,<1H OCEAN,178395.0
116,-117.86,34.08,31.0,2524.0,349.0,1003.0,343.0,7.5196,<1H OCEAN,359430.17
117,-118.31,34.06,36.0,369.0,147.0,145.0,136.0,0.8804,<1H OCEAN,225259.04
118,-117.22,34.11,26.0,2972.0,,1972.0,532.0,2.0388,INLAND,81579.0
119,-118.2,33.87,26.0,703.0,202.0,757.0,212.0,2.525,<1H OCEAN,150815.0
120,-118.38,33.75,23.0,8277.0,1290.0,3176.0,1159.0,7.6986,NEAR OCEAN,438482.45
121,-118.39,33.81,35.0,1008.0,165.0,391.0,167.0,3.7778,NEAR OCEAN,360376.19
122,-120.82,37.05,15.0,1385.0,288.0,775.0,255.0,1.933,INLAND,87091.0
123,-122.22,37.77,52.0,391.0,128.0,520.0,138.0,1.6471,NEAR BAY,88890.0
124,-121.25,38.67,14.0,6155.0,1034.0,2407.0,941.0,4.2262,INLAND,167800.0
125,-118.38,33.87,27.0,2287.0,491.0,1101.0,466.0,4.675,<1H OCEAN,376152.07
126,-117.89,34.13,34.0,2159.0,386.0,1443.0,385.0,4.1995,<1H OCEAN,178380.0
127,-117.28,33.19,5.0,2697.0,639.0,1633.0,580.0,3.4456,NEAR OCEAN,210758.01
128,-118.99,35.39,36.0,1438.0,348.0,1054.0,341.0,1.8319,INLAND,56557.0
129,-121.12,36.21,16.0,1720.0,473.0,1427.0,291.0,2.1107,<1H OCEAN,135429.0
130,-122.08,37.93,35.0,4043.0,689.0,1832.0,662.0,5.0761,NEAR BAY,266506.02
131,-121.49,38.58,52.0,569.0,405.0,509.0,367.0,0.9196,INLAND,108911.0
132,-117.81,33.56,24.0,6258.0,1003.0,1730.0,752.0,10.9601,<1H OCEAN,496246.89
133,-121.83,36.61,27.0,5665.0,1281.0,3612.0,1191.0,3.0542,<1H OCEAN,170273.0
134,-121.48,38.57,52.0,567.0,193.0,272.0,187.0,1.625,INLAND,99747.0
135,-118.33,33.88,30.0,1856.0,444.0,899.0,435.0,3.1505,<1H OCEAN,260836.0
136,-122.11,38.01,41.0,1345.0,272.0,718.0,283.0,3.3831,NEAR BAY,146976.0
137,-122.24,40.45,27.0,1804.0,321.0,782.0,300.0,3.5978,INLAND,89804.0
138,-117.05,32.56,17.0,985.0,233.0,811.0,223.0,2.875,NEAR OCEAN,123793.0
139,-121.21,38.83,21.0,3691.0,640.0,1758.0,603.0,3.5607,INLAND,129156.0
140,-118.39,33.85,24.0,4373.0,871.0,1830.0,824.0,5.7128,<1H OCEAN,370525.1
141,-122.05,37.68,23.0,7518.0,1279.0,3827.0,1294.0,5.1701,NEAR BAY,264266.0
142,-122.27,37.98,23.0,3455.0,479.0,1375.0,474.0,6.0289,NEAR BAY,299266.01
143,-123.36,39.41,46.0,1748.0,362.0,808.0,330.0,2.9183,<1H OCEAN,121976.0
144,-121.54,36.99,27.0,2361.0,449.0,1782.0,397.0,3.2614,INLAND,179468.0
145,-122.28,37.85,52.0,2246.0,472.0,1005.0,449.0,2.4167,NEAR BAY,148244.0
146,-117.08,33.01,5.0,5659.0,931.0,2565.0,902.0,6.1949,<1H OCEAN,279804.0
147,-122.5,38.35,25.0,1566.0,352.0,784.0,362.0,3.075,<1H OCEAN,186223.0
148,-121.91,36.59,31.0,2034.0,335.0,966.0,322.0,4.6964,NEAR OCEAN,284125.01
149,-116.9,33.03,11.0,3213.0,634.0,1975.0,579.0,3.475,<1H OCEAN,172299.0
150,-122.13,37.41,36.0,4787.0,900.0,2039.0,890.0,5.4063,NEAR BAY,363042.02
151,-119.8,34.43,27.0,3143.0,537.0,1760.0,570.0,4.6957,NEAR OCEAN,300185.03
152,-120.17,39.33,18.0,1046.0,204.0,486.0,179.0,4.119,INLAND,142854.0
153,-119.69,36.86,20.0,1676.0,263.0,786.0,240.0,4.0,INLAND,133711.0
154,-115.73,33.09,27.0,452.0,103.0,258.0,61.0,2.9,INLAND,104700.0
155,-117.88,34.13,33.0,3713.0,718.0,2106.0,720.0,4.0023,<1H OCEAN,185335.0
156,-122.02,37.95,25.0,1205.0,260.0,608.0,272.0,2.4519,NEAR BAY,145498.0
157,-117.07,32.59,21.0,1779.0,466.0,1327.0,488.0,1.6007,NEAR OCEAN,83296.0
158,-124.1,40.9,18.0,4032.0,798.0,1948.0,775.0,2.7321,NEAR OCEAN,104945.0
159,-118.35,33.89,30.0,1143.0,299.0,776.0,273.0,4.2829,<1H OCEAN,247592.0
160,-120.57,35.18,16.0,5209.0,917.0,2284.0,809.0,4.0403,<1H OCEAN,217059.01
161,-118.4,34.02,19.0,7297.0,2331.0,3870.0,2144.0,3.116,<1H OCEAN,287695.0
162,-117.93,33.92,34.0,2271.0,437.0,1393.0,433.0,4.2443,<1H OCEAN,180717.0
163,-121.55,39.48,41.0,461.0,107.0,284.0,90.0,2.2045,INLAND,82640.0
164,-122.23,37.49,11.0,840.0,329.0,1338.0,345.0,2.3333,NEAR OCEAN,205565.01
165,-122.44,37.66,36.0,1447.0,276.0,799.0,275.0,4.7639,NEAR OCEAN,265874.0
166,-117.29,34.1,19.0,1204.0,405.0,844.0,424.0,0.7235,INLAND,83399.0
167,-121.9,37.45,18.0,4900.0,814.0,2984.0,758.0,6.6176,<1H OCEAN,294463.01
168,-119.73,36.68,32.0,755.0,205.0,681.0,207.0,1.7986,INLAND,61515.99
169,-122.29,37.87,50.0,1829.0,536.0,1129.0,516.0,2.6684,NEAR BAY,173180.0
170,-118.26,33.94,45.0,1080.0,218.0,850.0,237.0,2.25,<1H OCEAN,102952.0
171,-118.17,33.96,25.0,2249.0,681.0,2621.0,628.0,2.3,<1H OCEAN,164148.0
172,-118.64,34.17,26.0,6767.0,903.0,2574.0,883.0,7.7846,<1H OCEAN,402878.12
173,-117.12,32.58,34.0,2003.0,466.0,1226.0,443.0,3.0613,NEAR OCEAN,135580.0
174,-122.25,38.0,16.0,2978.0,411.0,1531.0,400.0,6.5006,NEAR BAY,299720.04
175,-119.02,35.38,48.0,346.0,92.0,129.0,63.0,1.1875,INLAND,69318.0
176,-121.56,39.16,12.0,3349.0,642.0,2029.0,619.0,2.9647,INLAND,118226.0
177,-118.43,34.29,50.0,1181.0,265.0,1196.0,269.0,3.2095,<1H OCEAN,234210.07
178,-118.28,33.83,28.0,880.0,168.0,717.0,142.0,4.5469,<1H OCEAN,184935.0
179,-118.37,34.06,36.0,1661.0,395.0,690.0,365.0,3.3438,<1H OCEAN,362511.01
180,-117.15,32.71,52.0,217.0,82.0,531.0,93.0,1.6607,NEAR OCEAN,101389.0
181,-119.81,36.72,46.0,1414.0,268.0,902.0,243.0,1.5833,INLAND,51732.0
182,-120.95,37.66,16.0,4478.0,647.0,1990.0,672.0,5.1473,INLAND,165268.0
183,-121.84,37.66,13.0,13182.0,2074.0,4847.0,1950.0,5.6417,INLAND,247817.0
184,-117.38,33.96,30.0,3153.0,623.0,1544.0,575.0,3.4491,INLAND,118997.0
185,-120.89,35.37,29.0,2046.0,588.0,846.0,410.0,1.65,NEAR OCEAN,207918.01
186,-121.24,38.78,11.0,1851.0,352.0,1049.0,369.0,3.5288,INLAND,141707.0
187,-118.26,34.07,28.0,579.0,184.0,673.0,202.0,2.625,<1H OCEAN,176008.0
188,-122.46,37.78,52.0,3088.0,727.0,1636.0,662.0,2.8553,NEAR BAY,367948.01
189,-118.44,34.05,32.0,1880.0,435.0,798.0,417.0,4.7109,<1H OCEAN,427201.31
190,-117.02,32.81,26.0,1998.0,301.0,874.0,305.0,5.4544,<1H OCEAN,198559.0
191,-118.32,34.03,47.0,1734.0,453.0,1272.0,438.0,3.1731,<1H OCEAN,153821.0
192,-120.95,38.79,12.0,3247.0,579.0,1459.0,517.0,4.3981,INLAND,183920.0
193,-117.08,32.66,43.0,1004.0,236.0,839.0,235.0,2.81,NEAR OCEAN,124376.0
194,-122.19,37.78,52.0,2492.0,415.0,1109.0,375.0,4.3125,NEAR BAY,219359.0
195,-119.24,35.68,21.0,1885.0,398.0,1539.0,388.0,2.5208,INLAND,72424.0
196,-117.92,33.79,26.0,2737.0,614.0,1877.0,606.0,2.8622,<1H OCEAN,192185.0
197,-120.02,36.8,25.0,1270.0,255.0,1050.0,245.0,2.1618,INLAND,68952.0
198,-118.08,33.89,28.0,1035.0,275.0,1545.0,269.0,3.0357,<1H OCEAN,152928.0
199,-122.04,39.72,23.0,2502.0,481.0,1443.0,455.0,2.5625,INLAND,90107.0
200,-117.11,32.76,31.0,2293.0,549.0,1108.0,557.0,3.3854,NEAR OCEAN,155837.0
201,-118.27,34.07,33.0,1177.0,468.0,1533.0,430.0,2.3981,<1H OCEAN,200491.0
202,-118.27,34.15,7.0,2837.0,776.0,2287.0,736.0,3.008,<1H OCEAN,218383.0
203,-122.03,37.95,14.0,3287.0,793.0,1601.0,716.0,3.1719,NEAR BAY,155282.0
204,-118.44,34.07,26.0,3535.0,748.0,1322.0,666.0,7.1674,<1H OCEAN,393043.21
205,-118.38,34.16,42.0,2358.0,546.0,1065.0,523.0,3.1289,<1H OCEAN,326723.06
206,-119.71,34.42,31.0,1643.0,499.0,1253.0,499.0,3.1563,<1H OCEAN,234987.0
207,-116.54,33.8,22.0,6050.0,1387.0,1432.0,890.0,2.2216,INLAND,110234.0
208,-117.17,32.68,16.0,5895.0,1424.0,873.0,522.0,7.3669,NEAR OCEAN,396147.14
209,-119.16,34.28,11.0,5330.0,1056.0,2801.0,1028.0,4.763,NEAR OCEAN,258767.01
210,-117.67,33.55,6.0,3157.0,721.0,1695.0,710.0,3.7609,<1H OCEAN,183042.0
211,-118.19,34.03,31.0,525.0,136.0,627.0,145.0,2.6964,<1H OCEAN,140035.0
212,-117.87,34.07,21.0,4723.0,882.0,2210.0,768.0,3.8167,<1H OCEAN,175616.0
213,-121.59,39.14,41.0,1492.0,350.0,804.0,353.0,1.684,INLAND,65726.0
214,-118.4,34.04,40.0,2079.0,268.0,720.0,282.0,9.272,<1H OCEAN,498600.98
215,-116.95,32.82,19.0,5308.0,1058.0,2852.0,1092.0,2.9161,<1H OCEAN,139286.0
216,-122.41,37.6,26.0,2754.0,402.0,1128.0,395.0,6.3719,NEAR OCEAN,434862.46
217,-122.13,37.45,37.0,1287.0,197.0,510.0,206.0,7.9029,NEAR BAY,452309.65
218,-122.23,38.14,36.0,1412.0,260.0,792.0,268.0,2.3056,NEAR BAY,108144.0
219,-119.88,36.85,8.0,2580.0,372.0,1111.0,393.0,7.5,INLAND,254931.0
220,-117.06,32.75,34.0,1917.0,419.0,1181.0,426.0,3.0208,NEAR OCEAN,148155.0
221,-121.28,38.71,8.0,4053.0,912.0,2033.0,897.0,2.8973,INLAND,123419.0
222,-117.27,34.39,6.0,6988.0,1121.0,3660.0,1092.0,4.2224,INLAND,152070.99
223,-118.09,33.96,20.0,1911.0,472.0,1407.0,465.0,2.7647,<1H OCEAN,175276.0
224,-117.36,33.88,10.0,5600.0,848.0,2573.0,788.0,5.0346,INLAND,172340.0
225,-117.81,33.68,8.0,1964.0,413.0,913.0,406.0,5.1583,<1H OCEAN,234942.02
226,-122.25,37.77,52.0,2156.0,458.0,872.0,445.0,3.2685,NEAR BAY,246235.0
227,-118.32,34.02,50.0,1655.0,256.0,672.0,260.0,4.2554,<1H OCEAN,215848.01
228,-121.92,37.25,34.0,2231.0,360.0,1035.0,365.0,4.7917,<1H OCEAN,269089.0
229,-116.42,33.68,15.0,3895.0,782.0,900.0,529.0,2.2208,INLAND,117676.0
230,-118.35,34.21,39.0,1470.0,312.0,1047.0,284.0,3.275,<1H OCEAN,179389.0
231,-118.46,33.97,19.0,1658.0,427.0,648.0,378.0,3.8698,<1H OCEAN,394613.27
232,-119.26,36.5,35.0,1689.0,371.0,1475.0,329.0,2.5719,INLAND,74953.0
233,-118.26,33.97,46.0,1295.0,351.0,1120.0,323.0,1.7121,<1H OCEAN,98750.0
234,-117.7,34.04,13.0,5301.0,1025.0,2870.0,984.0,3.5954,INLAND,138931.0
235,-122.07,37.71,40.0,1808.0,302.0,746.0,270.0,5.3015,NEAR BAY,285839.05
236,-117.96,33.69,20.0,3123.0,441.0,1319.0,432.0,6.091,<1H OCEAN,291470.0
237,-118.13,33.9,35.0,1458.0,261.0,686.0,236.0,3.9038,<1H OCEAN,205282.0
238,-118.58,34.12,42.0,718.0,140.0,324.0,131.0,6.4018,<1H OCEAN,428312.45
239,-117.72,34.06,32.0,2209.0,654.0,1718.0,569.0,1.9643,INLAND,109286.0
240,-119.06,35.36,9.0,1228.0,234.0,409.0,212.0,4.3482,INLAND,111142.0
241,-120.57,37.43,39.0,2235.0,412.0,1268.0,402.0,2.6758,INLAND,93634.0
242,-118.42,34.02,26.0,2664.0,842.0,1745.0,789.0,3.4269,<1H OCEAN,349462.01
243,-121.28,38.02,8.0,1868.0,392.0,1258.0,389.0,3.175,INLAND,135818.0
244,-118.11,34.01,41.0,815.0,252.0,775.0,231.0,2.2847,<1H OCEAN,168037.0
245,-122.5,37.77,52.0,2739.0,569.0,1312.0,531.0,3.5833,NEAR BAY,347984.01
246,-119.5,35.27,23.0,3827.0,696.0,1993.0,617.0,3.0742,INLAND,93974.0
247,-121.37,37.06,25.0,474.0,92.0,300.0,104.0,3.8062,INLAND,175690.0
248,-118.18,34.09,44.0,1688.0,426.0,1605.0,384.0,3.3785,<1H OCEAN,173836.0
249,-122.27,37.82,43.0,1868.0,456.0,1061.0,407.0,1.5045,NEAR BAY,122329.0
250,-118.27,33.95,34.0,987.0,248.0,902.0,221.0,2.3365,<1H OCEAN,97472.0
251,-117.91,33.92,21.0,380.0,91.0,398.0,70.0,4.7222,<1H OCEAN,179272.0
252,-123.71,39.88,42.0,1518.0,383.0,656.0,303.0,1.4952,NEAR OCEAN,102209.0
253,-118.39,34.16,20.0,4084.0,1062.0,1637.0,987.0,3.2388,<1H OCEAN,332586.04
254,-118.1,33.91,35.0,1653.0,325.0,1072.0,301.0,3.2708,<1H OCEAN,175127.0
255,-122.1,37.96,25.0,1374.0,206.0,569.0,235.0,6.3699,NEAR BAY,320962.05
256,-122.44,37.76,52.0,2959.0,683.0,1145.0,666.0,4.2222,NEAR BAY,401585.1
257,-122.63,38.96,20.0,2507.0,577.0,1072.0,457.0,2.3083,INLAND,101151.0
258,-119.78,34.45,9.0,1830.0,353.0,1515.0,220.0,4.2109,NEAR OCEAN,265502.0
259,-114.61,34.84,48.0,1291.0,248.0,580.0,211.0,2.1571,INLAND,65847.94
260,-118.17,34.05,45.0,733.0,178.0,715.0,165.0,2.5962,<1H OCEAN,135139.0
261,-117.74,33.62,16.0,1889.0,590.0,686.0,537.0,3.4706,<1H OCEAN,226755.04
262,-117.96,33.65,24.0,4462.0,689.0,1943.0,712.0,5.7395,<1H OCEAN,266312.0
263,-119.9,36.94,11.0,2513.0,408.0,1360.0,415.0,4.277,INLAND,117788.0
264,-118.45,34.21,30.0,2331.0,733.0,2172.0,707.0,2.1888,<1H OCEAN,189888.0
265,-117.26,32.96,36.0,1721.0,264.0,710.0,282.0,10.1768,NEAR OCEAN,490928.79
266,-118.15,34.13,30.0,2763.0,520.0,1143.0,465.0,4.7298,<1H OCEAN,284865.0
267,-117.1,33.14,7.0,10665.0,2576.0,4917.0,2424.0,2.3171,<1H OCEAN,114532.0
268,-122.09,37.4,36.0,1575.0,379.0,1036.0,382.0,5.1408,NEAR BAY,316388.03
269,-122.13,37.7,21.0,4124.0,1054.0,2162.0,998.0,2.6321,NEAR BAY,175744.0
270,-117.33,33.23,15.0,1905.0,416.0,1258.0,388.0,3.33,NEAR OCEAN,206150.03
271,-117.64,33.88,13.0,8010.0,1366.0,3920.0,1309.0,5.536,<1H OCEAN,251736.0
272,-118.04,33.97,25.0,2945.0,914.0,2313.0,832.0,2.5686,<1H OCEAN,174230.0
273,-118.32,34.09,27.0,210.0,98.0,332.0,112.0,2.5556,<1H OCEAN,206386.08
274,-118.16,33.91,28.0,2922.0,739.0,3013.0,673.0,2.9531,<1H OCEAN,166245.0
